PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Burton, WB; Ma, TP; Grayson, MS",,,,"Burton, William B.; Ma, Terence P.; Grayson, Martha S.",,,"The Relationship Between Method of Viewing Lectures, Course Ratings, and Course Timing",JOURNAL OF MEDICAL EDUCATION AND CURRICULAR DEVELOPMENT,,,English,Article,,,,,,Evaluation; lecture capture; student ratings; technology; attendance,STUDENT-EVALUATIONS; ATTENDANCE,"Background: In recent years, medical schools have provided students access to video recordings of course lectures, but few studies have investigated the impact of this on ratings of courses and teachers. This study investigated whether the method of viewing lectures was related to student ratings of the course and its components and whether the method used changed over time. Methods: Preclinical medical students indicated whether ratings of course lectures were based primarily on lecture attendance, video capture, or both. Students were categorized into Lecture, Video, or Both groups based on their responses to this question. The data consisted of 7584 student evaluations collected over 2 years. Results: Students who attended live lectures rated the course and its components higher than students who only viewed the video or used both methods, although these differences were very small. Students increasingly watched lectures exclusively by video over time: in comparison with first- year students, second-year students were more likely to watch lectures exclusively by video; in comparison with students in the first half of the academic year, students in the second half of the academic year were more likely to watch lectures exclusively by video. Conclusions: With the increase in use of lecture video recordings across medical schools, attention must be paid to student attitudes regarding these methods.","[Burton, William B.] Albert Einstein Coll Med, Off Educ Resources, 1300 Morris Pk Ave,Belfer 211F, Bronx, NY 10461 USA; [Ma, Terence P.; Grayson, Martha S.] Albert Einstein Coll Med, Off Med Educ, 1300 Morris Pk Ave,Belfer 211F, Bronx, NY 10461 USA","Burton, WB (reprint author), Albert Einstein Coll Med, Off Educ Resources, 1300 Morris Pk Ave,Belfer 211F, Bronx, NY 10461 USA.",william.burton@einstein.yu.edu,,,,,,22,0,0,1,1,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",2382-1205,,,J MED EDUC CURRIC DE,J. Med. Educ. Curric. Dev.,Jul-11,2017,4,,,,,,,,UNSP 2382120517720215,10.1177/2382120517720215,,6,"Education, Scientific Disciplines",Education & Educational Research,FB3VH,WOS:000406070400001,,gold,,,29/11/2017
J,"Witton, G",,,,"Witton, Gemma",,,The value of capture: Taking an alternative approach to using lecture capture technologies for increased impact on student learning and engagement,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,,,English,Article,,,,,,,,"Lecture Capture technologies are becoming widespread in UK Higher Education with many institutions adopting a capture-all approach. Installations of capture devices in all teaching rooms and lecture theatres, scheduled recordings through integration with timetabling and automated distribution through virtual learning environments are swiftly becoming the norm. Capturing lectures has been shown to have a positive impact on student satisfaction, but numerous studies have shown little or no positive impact on student attainment as a result of capturing lectures. This article explores an alternative approach to the use of capture technologies in a pilot study at the University of Wolverhampton. The output of the pilot evaluation is a theoretical model recommending a shift in focus away from the conventional use of the technology for capturing lectures. It advocates a move toward the purposeful use of capture technologies to create content which adds value to student learning and increases engagement, which may ultimately lead to a positive impact on student attainment. The findings have implications for policy and practice around the use of capture technologies. Future work is described in the context of the project findings.","[Witton, Gemma] Univ Wolverhampton, Wolverhampton, England","Witton, G (reprint author), Univ Wolverhampton, Coll Learning & Teaching, City Campus,Wulfruna St, Wolverhampton WV1 1RH, W Midlands, England.",gemma.witton@wlv.ac.uk,,"Witton, Gemma/0000-0003-2488-0412",,,,12,0,0,4,4,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0007-1013,1467-8535,,BRIT J EDUC TECHNOL,Br. J. Educ. Technol.,JUL,2017,48,4,,,,,1010,1019,,10.1111/bjet.12470,,10,Education & Educational Research,Education & Educational Research,FA3DV,WOS:000405323000008,,No,,,29/11/2017
J,"Griswold, LA; Overson, CE; Benassi, VA",,,,"Griswold, Lou Ann; Overson, Catherine E.; Benassi, Victor A.",,,Embedding Questions During Online Lecture Capture to Promote Learning and Transfer of Knowledge,AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,,,English,Article,,,,,,,MEMORY; TESTS,"We examined the effect of quizzing on students' ability to apply lecture content to clinical examples on an in class exam. Fifty-six occupational therapy students in a graduate-level course completed three online modules that included lectures, slide presentations, demonstrations, and video clips. Throughout each module, students were given ""Learning Moments,"" in which they were asked a question (Question condition); were asked to read a statement confirming the content presented (Study condition); or were not asked to do anything (Not Asked condition). The Question condition resulted in better exam performance than the combined Study and Not Asked conditions (p < .01), whereas performance on Study and Not Asked questions did not differ (p = .67). Students performed better on material on which they had been previously quizzed (i.e., testing effect). Quizzing may be a good strategy to prepare students for clinical practice.","[Griswold, Lou Ann] Univ New Hampshire, Dept Occupat Therapy, Durham, NH 03824 USA; [Overson, Catherine E.; Benassi, Victor A.] Univ New Hampshire, Ctr Excellence & Innovat Teaching & Learning, Durham, NH 03824 USA; [Overson, Catherine E.] Univ New Hampshire, Coll Teaching, Durham, NH 03824 USA; [Benassi, Victor A.] Univ New Hampshire, Psychol, Durham, NH 03824 USA","Griswold, LA (reprint author), Univ New Hampshire, Dept Occupat Therapy, Durham, NH 03824 USA.",louann.griswold@unh.edu,,,"Davis Educational Foundation (Yarmouth, ME)","This research was supported by a grant from the Davis Educational Foundation (Yarmouth, ME). The foundation was established by Stanton and Elizabeth Davis after Stanton Davis's retirement as chairman of Shaw's Supermarkets, Inc. We thank Elizabeth Tappin for her contributions in compiling data necessary for completion of this project.",,20,0,0,0,0,"AMER OCCUPATIONAL THERAPY ASSOC, INC",BETHESDA,"4720 MONTGOMERY LANE, BETHESDA, MD 20814-3425 USA",0272-9490,1943-7676,,AM J OCCUP THER,Am. J. Occup. Ther.,MAY-JUN,2017,71,3,,,,,,,7103230010,10.5014/ajot.2017.023374,,7,Rehabilitation,Rehabilitation,FI7CX,WOS:000412154800014,,No,,,29/11/2017
J,"Zhao, X; Biernat, M",,,,"Zhao, Xian; Biernat, Monica",,,"Welcome to the US but ""change your name""? Adopting Anglo names and discrimination",JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,,,English,Article,,,,,,Adopting Anglo names; Discrimination; Acculturation ideologies; Partial ingroup membership,LABOR-MARKET; 1ST NAMES; INTERGROUP DISCRIMINATION; TEACHING ASSISTANTS; FIELD EXPERIMENT; HIGHER-EDUCATION; CATEGORIZATION; BIAS; DIVERSITY; MULTICULTURALISM,"A field experiment and a lab experiment investigated how White Americans react to foreigners who present themselves either using original names or Anglo names. Drawing on self-categorization theory, hypotheses were derived from a partial ingroup membership framework. In Study 1, an email from a Chinese student requesting a meeting about graduate training was sent to 419 White professors with the name of the sender being varied (Xian versus Alex). Use of the Chinese name led to fewer responses and agreements to meet than using the Anglo name. In Study 2, a lecture recording from an international graduate student was presented to 185 White undergraduates with the name of the lecturer varied (Jian versus John). The preference for Anglo (Chinese) names over Chinese (Anglo) names was apparent among those high (low) in assimilationist and low (high) in multicultural ideologies. These findings point to an important interplay between partial intergroup membership and acculturation ideologies of perceivers in predicting bias. Future research directions from both minority and majority perspectives are discussed. (C) 2016 Elsevier Inc. All rights reserved.","[Zhao, Xian] Beijing Normal Univ, Beijing 100875, Peoples R China; [Zhao, Xian; Biernat, Monica] Univ Kansas, Kansas City, KS 66103 USA","Zhao, X (reprint author), Univ Kansas, Dept Psychol, 1415 Jayhawk Blvd Rm 426, Lawrence, KS 66045 USA.",zhaoxianpsych@ku.edu,,,,,,67,0,0,11,11,ACADEMIC PRESS INC ELSEVIER SCIENCE,SAN DIEGO,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA",0022-1031,1096-0465,,J EXP SOC PSYCHOL,J. Exp. Soc. Psychol.,MAY,2017,70,,,,,,59,68,,10.1016/j.jesp.2016.12.008,,10,"Psychology, Social",Psychology,EP4RB,WOS:000397366500008,,No,,,29/11/2017
J,"Abdulsalam, N; Condrasky, M; Bridges, W; Havice, P",,,,"Abdulsalam, N.; Condrasky, M.; Bridges, W.; Havice, P.",,,The Promise of Andragogy and Experimental Learning to Improve Teaching of Nutrition Concepts to Culinary Arts Students,JOURNAL OF FOOD SCIENCE EDUCATION,,,English,Article,,,,,,nutrition education; culinary education; experiential learning; dietary sodium; andragogy,,"This randomized controlled trial compared the effectiveness of traditional lecture (C), face-to-face demonstration (DP), on-line lecture capture (OP), and the combination of the last two (OP+DP) to enhance culinary arts students' application skills related to sodium usage in food preparation. Objectives were to compare relative effectiveness of the four instructional methods with respect to knowledge about dietary sodium, ease of use of sodium reduction techniques, strategies to reduce sodium and attitudes about use of dietary sodium in cooking; and to compare student satisfaction with the instructional methods. A convenience sample of n = 139 students was randomized to receive the C, DP, OP, or OP+DP intervention. To measure effectiveness of each instructional method, a nutrition survey was administered as a pre-test, post-test, and an eight-week follow-up. There was no statistically significant difference in performance between DP, OP, and OP+DP groups on each subscale. However, each of these methods performed significantly better than the control group (C). DP, OP, and OP+DP methods were superior to the control group (C). In general, OP+DP resulted in the largest effect sizes, suggesting that this intervention was possibly more effective as compared to the OP or DP. Future culinarians can benefit from learning about health-conscious sodium reduction cooking practices as seen in the nutrition education sector to improve population health.","[Abdulsalam, N.] Clemson Univ, Dept Food Nutr & Packaging Sci, Clemson, SC 29634 USA; [Condrasky, M.; Bridges, W.] Clemson Univ, Dept Math Sci, Clemson, SC 29634 USA; [Havice, P.] Clemson Univ, Educ & Org Leadership Dev, Clemson, SC 29634 USA","Condrasky, M (reprint author), Clemson Univ, Dept Math Sci, Clemson, SC 29634 USA.",mcondra@clemson.edu,,,King Abdullah Scholarship Program; Saudi Arabian Ministry of Education,"The authors thank the Saudi Arabian Ministry of Education for their support and the generous financial support provided by the King Abdullah Scholarship Program. extend my sincere appreciation to all people working at the Cultural Mission of the Royal Embassy of Saudi Arabia for their endless help and support. Participating site: Culinary Inst. of the Carolinas, Greenville Technical College, SC, U.S.A.",,24,0,0,3,3,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1541-4329,,,J FOOD SCI EDUC,J. Food Sci. Educ.,APR,2017,16,2,,,,,54,61,,10.1111/1541-4329.12107,,8,"Education, Scientific Disciplines",Education & Educational Research,ER1VE,WOS:000398582300004,,No,,,29/11/2017
S,"Westner, M",,"Chova, LG; Martinez, AL; Torres, IC",,"Westner, Markus",,,VIDEO-ENHANCED LECTURES IN HIGH-TEACHING-LOAD ENVIRONMENTS WITH LIMITED RESOURCES: BENEFITS AND CHALLENGES FOR LECTURERS AND STUDENTS,"INTED2017: 11TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE",INTED Proceedings,,English,Proceedings Paper,"11th International Conference on Technology, Education and Development (INTED)","MAR 06-08, 2017","Valencia, SPAIN",,,lecture capture; screencasts patterns of usage; student performance,,"The paper provides a critical perspective on the use of lecture capturing in a high-teaching-load environment characterized by little financial and staff resource availability. The paper builds upon its author's three years of experience in capturing his lectures at a German tertiary education institution in a multi-language, i.e., English and German, teaching environment. The presented findings are both relevant for teaching practice and research: lecturers may benefit from the presented ideas and experiences and may adopt them for their teaching. Researchers may find starting points for new research opportunities on the effectiveness and efficiency of lecture recordings.","[Westner, Markus] OTH Regensburg, Regensburg, Germany","Westner, M (reprint author), OTH Regensburg, Regensburg, Germany.",,,,,,,18,0,0,0,0,IATED-INT ASSOC TECHNOLOGY EDUCATION A& DEVELOPMENT,VALENICA,"LAURI VOLPI 6, VALENICA, BURJASSOT 46100, SPAIN",2340-1079,,978-84-617-8491-2,INTED PROC,,,2017,,,,,,,197,207,,,,11,,,BI6TI,WOS:000413668600028,,No,,,29/11/2017
J,"Melatti, M; Johnsen, K",,,IEEE,"Melatti, Michael; Johnsen, Kyle",,,Virtual Reality Mediated Instruction and Learning,2017 IEEE VIRTUAL REALITY WORKSHOP ON K-12 EMBODIED LEARNING THROUGH VIRTUAL & AUGMENTED REALITY (KELVAR),,,English,Proceedings Paper,IEEE Virtual Reality Workshop on K-12 Embodied Learning through Virtual and Augmented Reality (KELVAR),"MAR 19, 2017","Los Angeles, CA",IEEE,,Virtual Classroom; lecture recording studio interface; student's lecture viewer interface,EDUCATION,"Several prominent media theories support the use of Virtual Reality (VR) in education, however, there are few examples to draw from due to barriers in implementation. Current generation, mainstream virtual reality systems have largely removed these barriers, allowing for evaluations to now take place. The focus of this research is to identify the opportunities of VR interfaces with respect to how students learn challenging spatial concepts, and to discover what computer mediated communication in VR looks like in a classroom or lecture setting. In this study, we designed the VR software tools which instructors could use to develop their own style of lecture. This paper follows the development process and the pivotal discoveries that led to the refined design modifications and implementation of our application called ""VR Classroom"". The results of the study provide a viable tool for instructors to create lectures in VR. The results also raised questions about how students could better learn in VR, how future technologies could solve these questions, and how the VR tool will grow in the teaching community.","[Melatti, Michael; Johnsen, Kyle] Univ Georgia, Athens, GA 30602 USA","Melatti, M (reprint author), Univ Georgia, Athens, GA 30602 USA.",mmelatti@uga.edu; kjohnsen@uga.edu,,,,,,8,0,0,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-1-5386-1892-9,,,,2017,,,,,,,,,,,,6,,,BI7KB,WOS:000414287100001,,No,,,29/11/2017
J,"O'Callaghan, FV; Neumann, DL; Jones, L; Creed, PA",,,,"O'Callaghan, Frances V.; Neumann, David L.; Jones, Liz; Creed, Peter A.",,,"The use of lecture recordings in higher education: A review of institutional, student, and lecturer issues",EDUCATION AND INFORMATION TECHNOLOGIES,,,English,Review,,,,,,Lecture recordings; Lecture capture; Podcasts; Learning outcomes; Attendance; Engagement,VIDEO PODCASTS; MULTIMEDIA; TECHNOLOGY; PERFORMANCE; IMPACT,"Web-based lecture technologies are being used increasingly in higher education. One widely-used method is the recording of lectures delivered during face-to-face teaching of on-campus courses. The recordings are subsequently made available to students on-line and have been variously referred to as lecture capture, video podcasts, and Lectopia. We examined the literature on lecture recordings for on-campus courses from the perspective of students, lecturers, and the institution. Literature was drawn from major international electronic databases of Elsevier ScienceDirect, PsycInfo, SAGE Journals, SpringerLink, ERIC and Google Scholar. Searches were conducted using key terms of lecture capture, podcasts, vodcasts, video podcasts, video streaming, screencast, webcasts, and online video. The reference sections of each article were also searched and a citation search was conducted. Institutions receive pressure from a range of sources to implement web-based technologies, including from students and financial imperatives, but the selection of appropriate technologies must reflect the vision the institution holds. Students are positive about the availability of lecture recordings. They make significant use of the recordings, and the recordings have some demonstrated benefits to student learning outcomes. Lecturers recognise the benefits of lecture recordings for students and themselves, but also perceive several potential disadvantages, such as its negative effect on attendance and engagement, and restricting the style and structure of lectures. It is concluded that the positives of lecture recordings outweigh the negatives and its continued use in higher education is recommended. However, further research is needed to evaluate lecture recordings in different contexts and to develop approaches that enhance its effectiveness.","[O'Callaghan, Frances V.; Neumann, David L.; Jones, Liz; Creed, Peter A.] Griffith Univ, Menzies Hlth Inst Queensland, Sch Appl Psychol, Gold Coast, Qld 4222, Australia","O'Callaghan, FV (reprint author), Griffith Univ, Menzies Hlth Inst Queensland, Sch Appl Psychol, Gold Coast, Qld 4222, Australia.",f.ocallaghan@griffith.edu.au,,,,,,80,1,1,0,0,SPRINGER,NEW YORK,"233 SPRING ST, NEW YORK, NY 10013 USA",1360-2357,1573-7608,,EDUC INF TECHNOL,Educ. Inf. Technol.,JAN,2017,22,1,,,,,399,415,,10.1007/s10639-015-9451-z,,17,Education & Educational Research,Education & Educational Research,FG5PR,WOS:000410382500021,,No,,,29/11/2017
J,"Dona, KL; Gregory, J; Pechenkina, E",,,,"Dona, Kulari Lokuge; Gregory, Janet; Pechenkina, Ekaterina",,,Lecture-recording technology in higher education: Exploring lecturer and student views across the disciplines,AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY,,,English,Article,,,,,,,PERCEPTIONS; PSYCHOLOGY; ATTENDANCE,"This paper presents findings of an institutional case study investigating how students and lecturers experienced a new opt-out, fully integrated lecture-recording system which enabled audio and presentation screen capture. The study's focus is on how 'traditional' students (generally characterised as young, enrolled full-time and attending classes on campus) engaged with lecture-recording and how lecturers' experiences with, and attitudes towards, lecture-recording differed depending on their discipline. Students were generally positive about the affordances of the lecture-recording system, whilst lecturers remained undecided on its value. Discipline-based differences in lecturer engagement with the system were noted between lecturers teaching engineering and sciences subjects and those teaching business and social sciences, the latter being more positive towards the system. The paper raises questions about the efficacy of a one-size-fits-all lecture-recording system given differences in disciplinary activities, lecturer styles and approaches to teaching.","[Dona, Kulari Lokuge] Monash Coll, Melbourne, Vic, Australia; [Gregory, Janet; Pechenkina, Ekaterina] Swinburne Univ Technol, Sarawak Campus, Hawthorn, Vic, Australia","Pechenkina, E (reprint author), Swinburne Univ Technol, Sarawak Campus, Hawthorn, Vic, Australia.",epechenkina@swin.edu.au,,"Pechenkina, Ekaterina/0000-0001-6997-6974",,,,40,0,0,1,1,CHARLES STURT UNIV,WAGGA WAGGA,"LOCKED BAG 588, WAGGA WAGGA, 2678, AUSTRALIA",1449-5554,,,AUSTRALAS J EDUC TEC,Australas. J. Educ. Technol.,,2017,33,4,,,,,122,133,,10.14742/ajet.3068,,12,Education & Educational Research,Education & Educational Research,FF9CI,WOS:000409314000009,,No,,,29/11/2017
J,"Chen, JJ; Xu, JL; Tang, T; Chen, RC",,,,"Chen, Jingjing; Xu, Jianliang; Tang, Tao; Chen, Rongchao",,,WebIntera-classroom: an interaction-aware virtual learning environment for augmenting learning interactions,INTERACTIVE LEARNING ENVIRONMENTS,,,English,Article,,,,,,Learning interaction; virtual learning environment; learning analytics; pen-andpaper interface; lecture recording,ANALYTICS; WHITEBOARD; TOOL,"Interaction is critical for successful teaching and learning in a virtual learning environment (VLE). This paper presents a web-based interaction-aware VLE - WebIntera-classroom - which aims to augment learning interactions by increasing the learner-to-content and learner-to-instructor interactions. We design a ubiquitous interactive interface that integrates a pen-and-paper interface with a web-based whiteboard to promote effective learner-to-content interactions. We develop a learning analytics tool that instantly shows learners' learning interactions, with which instructors can supervise learner-to-instructor interactions. We implement a high-granularity Learning Analytics Engine (hgLAE) to broadcast, record and play a lecture recording. The hgLAE identifies hotspots in a lecture recording and raises students' awareness of the hotspots when they watch the recording. WebIntera-classroom has been deployed in 11 universities in China. The system obtained high satisfaction in the questionnaires (N = 464) and face-to-face interviews (N = 60) conducted with the users from China Jiliang University. We compared the students' performance, respectively, achieved in traditional classroom and in WebIntera-classroom at China Jiliang University during 2012-2013. The result demonstrates that the students could gain performance improvement by using WebIntera-classroom.","[Chen, Jingjing; Xu, Jianliang] Hong Kong Baptist Univ, Dept Comp Sci, Hong Kong, Hong Kong, Peoples R China; [Chen, Jingjing] China Jiliang Univ, Dept Comp Sci, Hangzhou, Zhejiang, Peoples R China; [Tang, Tao] Hong Kong Baptist Univ, Dept Math, Hong Kong, Hong Kong, Peoples R China; [Chen, Rongchao] Lanzhou Jiaotong Univ, Key Lab Optoelect Technol & Intelligent Control, Minist Educ, Lanzhou, Gansu, Peoples R China","Chen, JJ (reprint author), Hong Kong Baptist Univ, Dept Comp Sci, Hong Kong, Hong Kong, Peoples R China.; Chen, JJ (reprint author), China Jiliang Univ, Dept Comp Sci, Hangzhou, Zhejiang, Peoples R China.",jjchen@comp.hkbu.edu.hk,,,,,,42,0,0,2,2,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",1049-4820,1744-5191,,INTERACT LEARN ENVIR,Interact. Learn. Environ.,,2017,25,6,,,,,792,807,,10.1080/10494820.2016.1188829,,16,Education & Educational Research,Education & Educational Research,FF7YV,WOS:000409233200009,,No,,,29/11/2017
